PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1628379,2022-23,00,1610612746,LAC,27.0,35,11,725.0,98,211,0.464,59,132,0.447,19,20,0.95,6,77,83,37,19,4,30,47,274,Luke Kennard
1628379,2022-23,00,1610612763,MEM,27.0,24,3,590.0,90,171,0.526,74,137,0.54,18,19,0.947,9,66,75,54,13,1,16,35,272,Luke Kennard
1628379,2022-23,00,0,TOT,27.0,59,14,1315.0,188,382,0.492,133,269,0.494,37,39,0.949,15,143,158,91,32,5,46,82,546,Luke Kennard
1628379,2023-24,00,1610612763,MEM,28.0,39,22,999.0,141,315,0.448,107,238,0.45,40,45,0.889,11,102,113,136,20,2,54,39,429,Luke Kennard
1628379,2024-25,00,1610612763,MEM,29.0,65,11,1472.0,206,431,0.478,113,261,0.433,51,57,0.895,37,146,183,215,50,5,72,59,576,Luke Kennard
201939,2009-10,00,1610612744,GSW,22.0,80,77,2896.0,528,1143,0.462,166,380,0.437,177,200,0.885,48,308,356,472,152,19,243,252,1399,Stephen Curry
201939,2010-11,00,1610612744,GSW,23.0,74,74,2489.0,505,1053,0.48,151,342,0.442,212,227,0.934,52,234,286,432,109,20,226,233,1373,Stephen Curry
201939,2011-12,00,1610612744,GSW,24.0,26,23,732.0,145,296,0.49,55,121,0.455,38,47,0.809,15,73,88,138,39,8,65,62,383,Stephen Curry
201939,2012-13,00,1610612744,GSW,25.0,78,78,2983.0,626,1388,0.451,272,600,0.453,262,291,0.9,59,255,314,539,126,12,240,198,1786,Stephen Curry
201939,2013-14,00,1610612744,GSW,26.0,78,78,2846.0,652,1383,0.471,261,615,0.424,308,348,0.885,46,288,334,666,128,14,294,194,1873,Stephen Curry
201939,2014-15,00,1610612744,GSW,27.0,80,80,2613.0,653,1341,0.487,286,646,0.443,308,337,0.914,56,285,341,619,163,16,249,158,1900,Stephen Curry
201939,2015-16,00,1610612744,GSW,28.0,79,79,2700.0,805,1598,0.504,402,886,0.454,363,400,0.908,68,362,430,527,169,15,262,161,2375,Stephen Curry
201939,2016-17,00,1610612744,GSW,29.0,79,79,2639.0,675,1443,0.468,324,789,0.411,325,362,0.898,61,292,353,524,142,17,239,183,1999,Stephen Curry
201939,2017-18,00,1610612744,GSW,30.0,51,51,1631.0,428,864,0.495,212,501,0.423,278,302,0.921,36,225,261,310,80,8,153,114,1346,Stephen Curry
201939,2018-19,00,1610612744,GSW,31.0,69,69,2331.0,632,1340,0.472,354,810,0.437,263,287,0.916,45,324,369,361,92,25,192,166,1881,Stephen Curry
